Date-Time,Power,Machine
12/02/2022 00:00:00,1321.08,robot1
12/02/2022 00:00:01,28354.84,robot1
12/02/2022 00:00:02,6677.94,robot1
12/02/2022 00:00:03,1598.42,robot1
12/02/2022 00:00:04,438.78,robot1
12/02/2022 00:00:05,296.18,robot1
12/02/2022 00:00:06,269.7,robot1
12/02/2022 00:00:07,160.68,robot1
12/02/2022 00:00:08,270.38,robot1
12/02/2022 00:00:09,274.82,robot1
12/02/2022 00:00:10,271.99,robot1
12/02/2022 00:00:11,273.28,robot1
12/02/2022 00:00:12,121.88,robot1
12/02/2022 00:00:13,261.44,robot1
12/02/2022 00:00:14,252.33,robot1
12/02/2022 00:00:15,250.43,robot1
12/02/2022 00:00:16,275.08,robot1
12/02/2022 00:00:17,190.58,robot1
12/02/2022 00:00:18,249.53,robot1
12/02/2022 00:00:19,256.99,robot1
12/02/2022 00:00:20,269.51,robot1
12/02/2022 00:00:21,283.85,robot1
12/02/2022 00:00:22,268.98,robot1
12/02/2022 00:00:23,150.48,robot1
12/02/2022 00:00:24,246.79,robot1
12/02/2022 00:00:25,275.91,robot1
12/02/2022 00:00:26,250.49,robot1
12/02/2022 00:00:27,257.85,robot1
12/02/2022 00:00:28,114.46,robot1
12/02/2022 00:00:29,285.26,robot1
12/02/2022 00:00:30,267.34,robot1
12/02/2022 00:00:31,285.84,robot1
12/02/2022 00:00:32,631.88,robot1
12/02/2022 00:00:33,504.19,robot1
12/02/2022 00:00:34,575.2,robot1
12/02/2022 00:00:35,655.14,robot1
12/02/2022 00:00:36,586.18,robot1
12/02/2022 00:00:37,529.34,robot1
12/02/2022 00:00:38,639.83,robot1
12/02/2022 00:00:39,578.19,robot1
12/02/2022 00:00:40,522.75,robot1
12/02/2022 00:00:41,598.05,robot1
12/02/2022 00:00:42,618.45,robot1
12/02/2022 00:00:43,548.1,robot1
12/02/2022 00:00:44,530.78,robot1
12/02/2022 00:00:45,612.46,robot1
12/02/2022 00:00:46,548.37,robot1
12/02/2022 00:00:47,617.52,robot1
12/02/2022 00:00:48,612.49,robot1
12/02/2022 00:00:49,537.82,robot1
12/02/2022 00:00:50,555.78,robot1
12/02/2022 00:00:51,615.34,robot1
12/02/2022 00:00:52,565.22,robot1
12/02/2022 00:00:53,757.73,robot1
12/02/2022 00:00:54,696.7,robot1
12/02/2022 00:00:55,584.09,robot1
12/02/2022 00:00:56,519.89,robot1
12/02/2022 00:00:57,592.58,robot1
12/02/2022 00:00:58,606.27,robot1
12/02/2022 00:00:59,529.36,robot1
12/02/2022 00:01:00,535.95,robot1
12/02/2022 00:01:01,626.72,robot1
12/02/2022 00:01:02,549.12,robot1
12/02/2022 00:01:03,602.44,robot1
12/02/2022 00:01:04,605.04,robot1
12/02/2022 00:01:05,539.65,robot1
12/02/2022 00:01:06,555.75,robot1
12/02/2022 00:01:07,619.41,robot1
12/02/2022 00:01:08,537.28,robot1
12/02/2022 00:01:09,551.31,robot1
12/02/2022 00:01:10,643.07,robot1
12/02/2022 00:01:11,562.75,robot1
12/02/2022 00:01:12,508.35,robot1
12/02/2022 00:01:13,598.76,robot1
12/02/2022 00:01:14,607.33,robot1
12/02/2022 00:01:15,560.38,robot1
12/02/2022 00:01:16,527.61,robot1
12/02/2022 00:01:17,604.54,robot1
12/02/2022 00:01:18,545.43,robot1
12/02/2022 00:01:19,599.41,robot1
12/02/2022 00:01:20,602.39,robot1
12/02/2022 00:01:21,522.28,robot1
12/02/2022 00:01:22,553.28,robot1
12/02/2022 00:01:23,622.76,robot1
12/02/2022 00:01:24,557.67,robot1
12/02/2022 00:01:25,555.07,robot1
12/02/2022 00:01:26,628.12,robot1
12/02/2022 00:01:27,566.3,robot1
12/02/2022 00:01:28,517.6,robot1
12/02/2022 00:01:29,619.67,robot1
12/02/2022 00:01:30,597.47,robot1
12/02/2022 00:01:31,545.67,robot1
